"product","binary file","download page","download link","download name","test flags","publish date","bin file size [B]","comment"
"C1","C1_FW_V01.00.0004.bin",,"http://download.dji-innovations.com/downloads/lightbridge2/C1_FW_V01.00.0004.bin","C1_FW_V01.00.0004.bin",3,"2015-10-09",14013108,
"C1","C1_FW_V01.00.0010.bin",,"http://dl.djicdn.com/downloads/lightbridge2/C1_FW_V01.00.0010.bin","C1_FW_V01.00.0010.bin",3,"2015-12-07",14029380,
"C1","C1_FW_V01.01.0000.bin",,"https://dl.djicdn.com/downloads/lightbridge2/C1_FW_V01.01.0000.bin","C1_FW_V01.01.0000.bin",3,"2016-09-06",5780684,
"C1","C1_FW_V01.01.0010.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_V01.01.0010.bin","C1_FW_V01.01.0010.bin",3,"2016-03-02",5503110,
"C1","C1_FW_V01.01.0020.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_V01.01.0020.bin","C1_FW_V01.01.0020.bin",3,"2016-04-01",5780684,
"C1","C1_FW_V01.01.0030.bin",,"https://dl.djicdn.com/downloads/lightbridge2/C1_FW_V01.01.0030.bin","C1_FW_V01.01.0030.bin",3,"2017-07-08",18933196,
"C1","C1_FW_V01.01.0092.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_V01.01.0092.bin","C1_FW_V01.01.0092.bin",3,"2016-03-29",14169232,
"C1","C1_FW_V01.01.0093.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_V01.01.0093.bin","C1_FW_V01.01.0093.bin",3,"2016-05-25",18933156,
"C1","C1_FW_V01.02.0021.bin","http://www.gerhard-weinberger.at/phpBB2/viewtopic.php?f=5&t=9",,"C1_FW_V01.02.0021.bin",3,,,
"C1","C1_FW_V01.03.00.21.bin",,"http://download.dji-innovations.com/downloads/inspire_1/C1_FW_V01.03.00.21.bin","C1_FW_V01.03.00.21.bin",3,"2015-08-13",21276620,
"C1","C1_FW_V01.03.0020.bin",,"http://download.dji-innovations.com/downloads/phantom_3/C1_FW_V01.03.0020.bin","C1_FW_V01.03.0020.bin",3,"2015-09-07",29847336,
